Feature	N	A	V	AV
variance rouge	4.241643614974329	29.828763656265366	5.574095210572932	36.20077510744552
moyenne saturation	115.5218605783532	891.2427536278739	88.60997391786803	891.0745510832584
variance saturation	14.05079157126676	102.63171293559715	18.406656517240634	118.91602286019527
moyenne luminosité	77.79805707279037	606.3399590640923	62.07222501530003	601.4651554677127
variance luminosité	4.241643615004556	29.828763656498555	5.574095210595712	36.20077510767819
moyenne teinte	18.14558112676013	147.5253284004267	21.23143820597147	146.87641605832744
variance teinte	0.5074721456746514	0.9070631611784269	1.03648317319101	5.4228447416471495
Histogramme bleu 0	0.48144692315077736	3.4218825651184317	1.4433817896104602	5.070072431521905
Histogramme bleu 1	0.005569069069507654	6.080724230690522	2.4164761930386014	1.455486452653486
Histogramme bleu 2	0.07206127358969035	4.154251374774585	2.7223107226426424	1.6178262618550119
Histogramme bleu 3	0.8480456582719377	0.6911873640411382	1.9190582806822098	4.895126032248074
Histogramme bleu 4	1.923462843864832	10.536139060735573	1.9422616050354897	16.445367306410123
Histogramme bleu 5	2.477771397736818	3.334477148824145	7.117846542805593	12.173749879134357
Histogramme bleu 6	0.5166908097292553	0.5785098837698911	2.2964152907937097	1.8778251926802725
Histogramme bleu 7	0.1545394229223611	0.5228464274288358	0.7548038833124	0.5657119142832928
Histogramme bleu 8	1.5100107695638714	10.64118189212988	1.0977593833555055	9.19439052614488
Histogramme bleu 9	1.8710813793189798	12.608429151691299	2.9761572937785425	9.600496665346661
Histogramme bleu 10	6.662564292955836	43.303593941327705	17.83409611136727	68.59062324952377
Histogramme bleu 11	0.1493001875522516	2.0836612983156897	0.039771104999365654	0.7396164768771786
Histogramme bleu 12	0.24311413251117858	2.6412634859032966	0.11834040092201374	1.6068751360987317
Histogramme bleu 13	0.4100319074181037	3.423255630964494	1.0125591600137598	3.9345085196953336
Histogramme bleu 14	4.956809822507295	37.157765635967195	3.7089029690219526	38.38720135068087
Histogramme bleu 15	0.7128492589381065	11.424683286548165	2.7812125548682776	6.725868620903589
Histogramme teinte 0	20.660436160223448	154.54712800029753	5.218949573590073	147.8303127255069
Histogramme teinte 1	3.056941119020661	20.91211550679132	0.40505953605214473	21.910954657739026
Histogramme teinte 2	5.439673279371479	35.113221579674686	0.2277327900059644	38.911760996119924
Histogramme teinte 3	0.02866429328042291	0.39654523562462174	0.0020809960444543476	0.1544789592094181
Histogramme teinte 4	0.20384513992091688	1.5630695458904271	0.09878928981686247	1.5058155349784421
Histogramme teinte 5	0.20183368600319407	1.478235009841401	0.07335771830222222	1.4786355962375348
Histogramme teinte 6	0.13095021579944027	6.35193553700187	2.2681261656368137	2.2999370054256136
Histogramme teinte 7	0.5206983278033126	3.7108335087100692	1.0967782876775267	4.9255144279958305
Histogramme teinte 8	2.8125321498906555	20.252883185853072	0.9905818706790818	20.651253690042207
Histogramme teinte 9	0.34235992178524915	3.2333511460865454	1.1880484624282948	3.603518511437092
Histogramme teinte 10	0.4535345838062175	3.7969356683280493	0.8290997007981363	4.0013577419549975
Histogramme teinte 11	0.02495278858846754	0.08555713360785101	0.28725567449782397	0.5393554396317056
Histogramme teinte 12	0.03212405330542415	0.5180613776062204	0.1348203929266666	0.008943724647660358
Histogramme teinte 13	3.705677482122234e-12	2.835105722254323e-11	2.645822367034466e-12	2.840651618204682e-11
